features,score
v75_B,0.0030605915408626755
v100,0.0029824002568108387
v56_DF,0.0029793401502492354
v125_J,0.00296633786627225
v71_F,0.0029533256264190158
v40,0.0029458342777427798
v83,0.0029298116527598497
v113_S,0.002925259080041939
v128,0.0029224567140642282
v114,0.0029217897964917954
v93,0.0029062783705127975
v125_AS,0.0028981341763882145
v34,0.002895595412576173
v125_N,0.002895148223807558
v125_T,0.002844406139358512
v79_D,0.0028079310685678645
v79_K,0.0028007095246468513
v56_DP,0.002789860866782659
v125_Y,0.0027737994609175875
v79_P,0.0027670141342268943
v64,0.0027482770143351693
v125_CA,0.0027447565527622267
v79_Q,0.0027383429078732136
v106,0.002733486510378615
v86,0.002720491753642838
v39,0.002707685609010833
v58,0.0027072636598863237
v19,0.0027056294722773355
v29,0.002704905588183279
v74_C,0.002697502593316803
v55,0.002691214600170634
v87,0.002680330565334206
v60,0.002658716696410097
v24_B,0.0026560172640245528
v32,0.0026473173679623717
v112_V,0.0026425145053618343
v36,0.0026308772224959624
v73,0.0026266022227439925
v61,0.0026174858203879656
v33,0.002615805640773559
v122,0.0026134013467425717
v65,0.0026083174681459345
v53,0.0026036489830483104
v44,0.0026024633851228205
v113_F,0.0025850973373006208
v125_AL,0.00257792475221824
v15,0.00257698932554631
v57,0.0025763667898532675
v127,0.002575586069470884
v45,0.0025715625431876137
v68,0.002570686537480484
v88,0.002569930826628105
v103,0.0025689258325631175
v7,0.0025663419210865484
v81,0.0025573207194158486
v11,0.002542695260643643
v49,0.0025415049348535015
v6,0.002540663522899056
v98,0.00253776112616514
v78,0.002537168150282543
v95,0.0025361116510627616
v56_R,0.00253509651858035
v117,0.002530932728475635
v121,0.0025275386619525854
v131,0.0025238039691024114
v125_BF,0.002522214569202647
v30_F,0.0025090151037291167
v101,0.002500070893105428
v30_nan,0.002494856860925309
v43,0.002493641413598313
v125_V,0.0024913612406435967
v125_L,0.0024821334091708236
v37,0.0024722663910185464
v123,0.0024716227036059085
v16,0.002469412387224675
v9,0.0024653323539170296
v72,0.002454609453893493
v118,0.0024538929370438276
v89,0.0024525767273009995
v111,0.0024522887944212943
v26,0.0024478116301309923
v67,0.002445814307653251
v94,0.0024418335404588257
v84,0.002440606996843779
v25,0.0024395806772379877
